GEMET:12123	silting up
GEMET:12128	hydrometry
GEMET:12131	flood forecast
GEMET:12135	hydrographic network
GEMET:12139	sedimentology
GEMET:12145	hydrographic basin
GEMET:1215	catchment area
GEMET:12151	bathing freshwater
GEMET:12152	demesnial water
GEMET:12153	non-demesnial water
GEMET:12165	water desalination
GEMET:12166	bathing seawater
GEMET:12170	ocean outfall
GEMET:12171	ocean exploitation
GEMET:12183	estuary pollution
GEMET:12189	river management
GEMET:1220	catch yield
GEMET:12202	water weed cutting
GEMET:12204	bank protection
GEMET:1221	category of endangered species
GEMET:12210	retaining reservoir
GEMET:12213	dam draining
GEMET:12214	water corrosivity
GEMET:12215	water quality improvement
GEMET:12216	water taste
GEMET:12219	green tide
GEMET:12220	suspended matter
GEMET:12240	fountain
GEMET:12248	water reservoir
GEMET:12254	water demineralisation
GEMET:12259	on-site wastewater treatment
GEMET:12260	collective wastewater treatment
GEMET:12263	storm water basin
GEMET:12273	rain water sewer system
GEMET:12275	separate sewer system
GEMET:12276	combined sewer system
GEMET:12277	water aeration
GEMET:12278	individual wastewater treatment
GEMET:12279	sedimentation basin
GEMET:12280	trickling filter
GEMET:12283	used water
GEMET:12284	urban wastewater
GEMET:12285	waste treatment effluent
GEMET:12287	biological wastewater treatment
GEMET:1229	cause for concern principle
GEMET:12293	water regeneration
GEMET:12301	water resources management
GEMET:12318	waste sorting unit
GEMET:12321	scrap dump
GEMET:12325	reclamation industry
GEMET:12341	use of waste as energy source
GEMET:12342	use of waste as material
GEMET:12349	beach cleansing
GEMET:12357	bulky waste
GEMET:12366	alkaline battery
GEMET:12367	electric battery
GEMET:12377	pollution abatement waste
GEMET:12379	health-care activities waste
GEMET:12381	special industrial waste
GEMET:12382	metal waste
GEMET:12383	mineral waste
GEMET:1239	cell (biology)
GEMET:12390	wreck
GEMET:12417	sinking of waste
GEMET:1242	cell (energy)
GEMET:12429	residue of grinding
GEMET:12430	treatment residue
GEMET:12431	incineration residue
GEMET:12435	clearing sludge
GEMET:12436	dehydrated sludge
GEMET:12441	residual waste sludge
GEMET:12446	sludge stabilisation
GEMET:1245	cellulose industry
GEMET:12450	industrial activity
GEMET:12456	industrial wasteland
GEMET:12459	classified facility
GEMET:12471	quartering
GEMET:12482	oil production (chain)
GEMET:12485	hydrocarbon storage tank
GEMET:12488	drilling for oil
GEMET:1249	cement manufacture
GEMET:12511	aggregate extraction
GEMET:12514	mechanical industry
GEMET:12525	timber producing chain
GEMET:12528	packing industry
GEMET:12576	biofiltration
GEMET:12583	dechlorination
GEMET:12587	methanisation
GEMET:12599	aerobic treatment
GEMET:126	advertisement
GEMET:12600	anaerobic treatment
GEMET:12605	physicochemical treatment
GEMET:12606	physical treatment
GEMET:12607	primary treatment
GEMET:12608	secondary treatment
GEMET:12609	tertiary treatment
GEMET:12611	vitrification
GEMET:12656	underground quarry
GEMET:12665	geotechnics
GEMET:12666	rock mechanics
GEMET:1267	ceramics industry
GEMET:12676	bush clearing
GEMET:12677	prevention of forest fires
GEMET:12687	flood protection
GEMET:12711	land restoration in mountain areas
GEMET:12717	soil stability
GEMET:12721	volcanology
GEMET:12746	antiseismic regulation
GEMET:12763	civil safety
GEMET:12764	industrial safety
GEMET:12778	risk exposure
GEMET:12783	hazard area
GEMET:12784	technological accident
GEMET:12790	ecocatastrophe
GEMET:12793	nuclear hazard
GEMET:1280	chain management
GEMET:12807	major risk installation
GEMET:12808	dangerous installation
GEMET:12814	biotechnological hazard
GEMET:12816	nuclear risk
GEMET:12819	dangerous materials transport
GEMET:12849	disaster zone
GEMET:1286	change in value
GEMET:12861	danger analysis
GEMET:12866	preventive information
GEMET:12872	risk exposure plan
GEMET:12887	damage insurance
GEMET:12889	pollution insurance
GEMET:12893	water damage
GEMET:12898	damage assessment
GEMET:129	product advertising
GEMET:12905	compensation for damage
GEMET:1291	negotiable charge
GEMET:1292	map chart
GEMET:1298	chemical analysis
GEMET:12982	press release
GEMET:1299	chemical composition
GEMET:12994	environmental study
GEMET:13	absorption (exposure)
GEMET:13000	cinematographic film
GEMET:13001	documentary film
GEMET:13002	flora (document)
GEMET:13021	parliamentary report
GEMET:13025	statutory text
GEMET:13026	thesis
GEMET:1303	chemical decontamination
GEMET:13040	CD-ROM
GEMET:13041	information centre
GEMET:13053	technical information
GEMET:1306	chemical fallout
GEMET:13060	information network
GEMET:1307	chemical fertiliser
GEMET:13098	iron and steel industry
GEMET:1310	chemical industry
GEMET:13100	urban habitat
GEMET:13102	land management and planning
GEMET:13104	rural habitat
GEMET:13106	groundwater quality
GEMET:13107	target setting
GEMET:1311	chemical installation
GEMET:13115	land tax
GEMET:13117	open lawn
GEMET:1312	chemical oceanography
GEMET:13120	human habitat
GEMET:13121	urban concentration
GEMET:13122	home garden
GEMET:13124	bottle cap
GEMET:13127	iron scrap
GEMET:13137	budget policy
GEMET:1314	chemical pest control
GEMET:13145	Community finance
GEMET:13146	organisation of the legal system
GEMET:13148	economic structure
GEMET:13149	distributive trade
GEMET:13150	monetary relations
GEMET:13151	monetary economics
GEMET:13152	free movement of capital
GEMET:13154	social framework
GEMET:13156	social protection
GEMET:13157	organisation of teaching
GEMET:13159	business organisation
GEMET:1316	chemical plant
GEMET:13160	business classification
GEMET:13161	legal form of organisations
GEMET:13164	cultivation of agricultural land
GEMET:13165	means of agricultural production
GEMET:13167	processed agricultural produce
GEMET:13168	agri-foodstuff
GEMET:1317	chemical policy
GEMET:13170	economic geography
GEMET:13177	credit
GEMET:13178	freedom
GEMET:13179	industrial structure
GEMET:1318	chemical pollutant
GEMET:13182	stock (trade)
GEMET:13183	sterilisation (biological)
GEMET:13184	environmental economics of firms
GEMET:13186	yield (agricultural)
GEMET:13187	environmental problem solving
GEMET:13188	fodder plant
GEMET:13189	industrial plant (organism)
GEMET:1319	chemical pollution
GEMET:13190	textile plant
GEMET:13192	agricultural real estate
GEMET:13193	agricultural holding
GEMET:13194	type of tenure
GEMET:13196	petrochemical
GEMET:13197	speciality chemical
GEMET:13198	protein product
GEMET:13199	processed foodstuff
GEMET:132	aeration
GEMET:13202	mining product
GEMET:13205	root crop
GEMET:13207	cultivation system
GEMET:13209	crop production
GEMET:13210	fisheries structure
GEMET:13211	fishing ground
GEMET:13212	coal industry
GEMET:13213	energy industry
GEMET:13214	communications industry
GEMET:13215	information technology industry
GEMET:13216	vacuum industry
GEMET:13217	preparation for market
GEMET:13218	precision engineering
GEMET:13219	materials technology
GEMET:1322	chemical property
GEMET:13221	audiovisual equipment
GEMET:13222	machinery
GEMET:13223	mechanical equipment
GEMET:13224	pressure equipment
GEMET:13225	thermal equipment
GEMET:13226	industrial manufacturing
GEMET:13227	size of business
GEMET:13228	business activity
GEMET:13229	branch of activity
GEMET:13232	building service
GEMET:13233	mode of transportation
GEMET:13234	destination of transport
GEMET:13236	degradation of the environment
GEMET:13237	Community budget
GEMET:13238	economic support
GEMET:13239	accounting system
GEMET:1324	chemical reaction
GEMET:13240	economic forecasting
GEMET:13241	customs tariff
GEMET:13242	commercial transaction
GEMET:13244	pay policy
GEMET:13245	European Monetary System
GEMET:13246	money market
