11277	road network	
11289	navigation	
11294	merchant shipping	
11296	combined transport	
1130	cancer	http://purl.obolibrary.org/obo/DOID_162
11307	urban community	
11308	urban development document	
11309	periurban space	
11312	single family dwelling	
11321	land use plan	
11322	urban planning and development	
11323	land use regime	
1133	cancer risk	
11332	new town	
11333	pre-emption zone	
11334	land-management intervention area	
11344	rural architecture	
11345	traditional architecture	
11355	building destruction	
11359	municipal engineering	http://purl.obolibrary.org/obo/SCTID_308036004
11375	building restoration	
11427	statutory declaration	
11429	quality standard	
11430	European standard	
11431	ISO standard	
11433	technical regulation	
11466	codification	
11468	doctrine (law)	
11472	transport law	
11476	rural law	
11477	animal rights	
11478	rights of future generations	
11479	citizen rights	
1148	car	http://purl.obolibrary.org/obo/OMIM_604172
11493	Community ruling	
11494	order	
11497	administrative instructions	
11498	technical instruction	
11499	law (corpus of rules)	
11502	hunting licence	
11504	building permit	
11506	fishing licence	
11514	regulation	
11517	transposition of directive	
11522	public discussion	
11523	declaration of public utility	
11524	private domain	
11525	public waterways domain	
11526	public maritime domain	
11530	public benefit inquiry	
11531	public inquiry	
11536	easement	
11540	crime	
11549	criminal law procedure	
11556	judgement (sentence)	
11559	conflict	http://purl.obolibrary.org/obo/SCTID_15863006
11563	litigation	http://purl.obolibrary.org/obo/SCTID_44254000
11583	justice	
11587	trial	
1159	carbohydrate	http://purl.obolibrary.org/obo/MESH_D09.203
1160	carbon	http://purl.obolibrary.org/obo/MESH_D01.045.125
11611	lease	
11612	certification	http://purl.obolibrary.org/obo/SCTID_308707006
11618	homologation	http://purl.obolibrary.org/obo/SCTID_73804003
1162	carbonate	http://purl.obolibrary.org/obo/MESH_D01.045.125
11621	notification	http://purl.obolibrary.org/obo/SCTID_185087000
11623	pre-emption	
11624	prescription	http://purl.obolibrary.org/obo/MESH_E02.319.720
11633	pollutant flow	
11635	ocean-air interface	
11636	pollutant migration	
11638	incidental pollution	
11639	bacteriological pollution	
11641	diffuse pollution	
11642	domestic pollution	
11643	mineral pollution	
11644	organic pollution	
11645	photochemical pollution	
11646	land-based marine pollution	
11647	toxic pollution	
11648	river disposal	
11649	underground disposal	
11651	urban pollutant	
11661	prevention measure	
11662	protective measure	
11671	strong acidity	http://purl.obolibrary.org/obo/SCTID_65669009
11675	biological contamination	
11676	chemical contamination	
11678	biological effect of pollution	
1168	carbon dioxide	http://purl.obolibrary.org/obo/MESH_D01.200.200
11686	irreversibility of the phenomenon	
11691	quality objective	http://purl.obolibrary.org/obo/PATO_0001241
11692	solid particle	
11693	purifying power	
1170	carbon dioxide tax	
11700	sensor	
11701	instrumentation	http://purl.obolibrary.org/obo/SCTID_309824003
11702	metrology	
11706	observation satellite	
11713	atrazine	http://purl.obolibrary.org/obo/MESH_D03.383.931.247
11714	organic nitrogen	
11718	halogenated compound	http://purl.obolibrary.org/obo/SCTID_14097008
1173	carbon monoxide	http://purl.obolibrary.org/obo/MESH_D01.200.250
11734	sulphur monoxide	http://purl.obolibrary.org/obo/CHEBI_45822
11745	pyralene	
11752	asbestosis	http://purl.obolibrary.org/obo/DOID_10320
11762	genotoxicity	
11763	intoxication	
1177	carcass disposal	
11771	biological test	
11779	total organic carbon	
11781	chemical degradation	
11782	laboratory test	http://purl.obolibrary.org/obo/SCTID_15220000
11787	oxidisable material	
11788	dissolved oxygen	
11789	photodegradation	
11791	insoluble substance	
11792	non-volatile substance	
11793	weakly degradable substance	
11794	volatile substance	
11795	chemical corrosivity	http://purl.obolibrary.org/obo/SCTID_311758007
11798	physicochemical analysis	
1180	carcinogenicity	http://purl.obolibrary.org/obo/MESH_D05.569.100
11807	experimental study	
11809	granulometry	
1181	carcinogenicity test	http://purl.obolibrary.org/obo/MESH_E05.940.150
11812	drawing	
11813	chemical product	http://purl.obolibrary.org/obo/ENVO_2000000
11814	flammable product	
11816	organoleptic property	
1182	carcinogen	http://purl.obolibrary.org/obo/MESH_D05.569.100
11835	hearing system	
11836	cardiovascular system	http://purl.obolibrary.org/obo/MESH_A07
1184	cardiology	http://purl.obolibrary.org/obo/MESH_G02.403.776.409.163
1185	cardiovascular disease	
