subjectClass,subectClassLabel,relationship,relationshipLabel,objectClass,objectClassLabel
http://purl.obolibrary.org/obo/FOODON_03303716,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302231,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302394,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03315754,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400112,nonalcoholic beverage (us cfr)
http://purl.obolibrary.org/obo/FOODON_03310547,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302287,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03304273,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03307481,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03315325,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03303057,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/OBI_0001909,,http://purl.obolibrary.org/obo/OBI_0000312,is_specified_output_of,http://purl.obolibrary.org/obo/OBI_0000338,drawing a conclusion based on data
http://purl.obolibrary.org/obo/ENVO_01000952,,http://purl.obolibrary.org/obo/RO_0002233,has input,http://purl.obolibrary.org/obo/ENVO_01000951,natural environment
http://purl.obolibrary.org/obo/FOODON_03304659,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/OBI_0000749,,http://purl.obolibrary.org/obo/OBI_0000417,achieves_planned_objective,http://purl.obolibrary.org/obo/OBI_0000704,decision tree induction objective
http://purl.obolibrary.org/obo/FOODON_03306175,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03306175,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302230,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302411,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03311775,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/IAO_0000572,,http://purl.obolibrary.org/obo/OBI_0000299,has_specified_output,http://purl.obolibrary.org/obo/IAO_0000310,document
http://purl.unep.org/sdg/SDGIO_00000056,,http://purl.obolibrary.org/obo/RO_0000052,inheres in,http://purl.obolibrary.org/obo/NCBITaxon_9606,Homo sapiens
http://purl.obolibrary.org/obo/ENVO_01001000,,http://purl.obolibrary.org/obo/RO_0002507,determined by,http://purl.obolibrary.org/obo/NCBITaxon_131567,cellular organisms
http://purl.obolibrary.org/obo/FOODON_03310960,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302394,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00000024,,http://purl.obolibrary.org/obo/BFO_0000054,realized in,http://purl.unep.org/sdg/SDGIO_00000014,exposure process
http://purl.obolibrary.org/obo/FOODON_03302427,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302163,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/OBI_0000338,,http://purl.obolibrary.org/obo/OBI_0000299,has_specified_output,http://purl.obolibrary.org/obo/OBI_0001909,conclusion based on data
http://purl.obolibrary.org/obo/FOODON_03302396,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03305465,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/ENVO_00000070,,http://purl.obolibrary.org/obo/BFO_0000050,part of,http://purl.obolibrary.org/obo/ENVO_01000983,technosphere
http://purl.obolibrary.org/obo/ENVO_00000070,,http://purl.obolibrary.org/obo/RO_0002353,output of,http://purl.obolibrary.org/obo/ENVO_01000996,construction process
http://purl.obolibrary.org/obo/FOODON_03310547,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00010004,,http://purl.obolibrary.org/obo/RO_0002218,has active participant,http://purl.unep.org/sdg/SDGIO_00010005,employed person
http://purl.obolibrary.org/obo/FOODON_03309897,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03311097,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00000015,,http://purl.obolibrary.org/obo/RO_0002427,causally downstream of or within,http://purl.obolibrary.org/obo/ENVO_02500002,flooding
http://purl.obolibrary.org/obo/FOODON_03306090,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302234,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302661,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302661,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/OBI_0500000,,http://purl.obolibrary.org/obo/BFO_0000051,has part,http://purl.obolibrary.org/obo/OBI_0000272,protocol
http://purl.obolibrary.org/obo/FOODON_03302407,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302407,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03316262,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00010008,,http://purl.obolibrary.org/obo/BFO_0000055,realizes,http://purl.unep.org/sdg/SDGIO_00010011,educatee role
http://purl.obolibrary.org/obo/FOODON_03306650,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03303635,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03303635,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00010052,,http://purl.obolibrary.org/obo/RO_0000086,has quality,http://purl.unep.org/sdg/SDGIO_00010050,inclusiveness
http://purl.obolibrary.org/obo/OBI_0200033,,http://purl.obolibrary.org/obo/OBI_0000417,achieves_planned_objective,http://purl.obolibrary.org/obo/OBI_0200188,cross validation objective
http://purl.obolibrary.org/obo/FOODON_03302280,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302280,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.unep.org/sdg/SDGIO_00010011,,http://purl.obolibrary.org/obo/RO_0000052,inheres in,http://purl.obolibrary.org/obo/NCBITaxon_9606,Homo sapiens
http://purl.obolibrary.org/obo/FOODON_03302403,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03302403,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03305563,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03305563,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.unep.org/sdg/SDGIO_00000059,,http://purl.obolibrary.org/obo/RO_0000053,bearer of,http://purl.unep.org/sdg/SDGIO_00000055,self-employed role
http://purl.obolibrary.org/obo/FOODON_03315151,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/FOODON_03304273,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03301869,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03301869,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302279,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/ENVO_01000998,,http://purl.obolibrary.org/obo/RO_0002507,determined by,http://purl.obolibrary.org/obo/ENVO_00010483,environmental material
http://purl.obolibrary.org/obo/FOODON_03302165,,http://purl.obolibrary.org/obo/RO_0002350,member of,http://purl.obolibrary.org/obo/FOODON_03400241,soft drink (us cfr)
http://purl.obolibrary.org/obo/ENVO_02500027,,http://purl.obolibrary.org/obo/RO_0002218,has active participant,http://purl.obolibrary.org/obo/NCBITaxon_9606,Homo sapiens
http://purl.unep.org/sdg/SDGIO_00010077,,http://purl.obolibrary.org/obo/RO_0000057,has participant,http://purl.obolibrary.org/obo/ENVO_00002264,waste material
http://purl.obolibrary.org/obo/FOODON_03316211,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03302269,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
http://purl.obolibrary.org/obo/FOODON_03307301,,http://purl.obolibrary.org/obo/RO_0001000,derives from,http://purl.obolibrary.org/obo/ENVO_00003064,drinking water
